animal,energie,faim,nourriture,predateurs,pret_reproduction,partenaire_proche,decision
2,38,47,0,0,1,0,1
0,16,72,0,0,1,0,1
0,51,100,1,0,1,1,3
2,23,47,0,1,1,0,2
0,80,35,1,1,0,0,2
1,19,88,1,0,1,1,0
0,68,52,0,2,0,0,2
0,66,62,0,2,0,1,2
0,39,79,0,2,0,1,2
2,60,61,1,2,0,1,2
0,28,60,0,1,0,0,2
1,43,19,1,2,1,1,2
0,89,97,0,1,1,1,2
0,41,37,0,0,0,0,1
1,98,82,0,0,0,0,1
1,84,18,0,2,1,1,2
0,9,99,1,0,1,0,3
2,89,76,0,0,1,1,1
0,43,31,0,1,0,1,2
0,34,44,0,2,0,0,2
1,34,14,1,1,1,0,2
1,62,43,1,1,1,1,2
2,84,43,0,0,1,1,5
1,80,57,0,0,1,0,1
2,34,5,1,0,0,1,1
0,78,88,1,0,1,1,3
1,14,75,0,2,1,0,2
0,59,2,0,2,0,0,2
1,100,23,0,2,0,1,2
2,61,6,0,0,1,1,5
2,30,51,0,1,1,0,2
1,35,25,1,0,0,1,1
2,1,29,0,1,0,1,4
2,86,27,0,2,1,0,2
0,29,31,0,1,1,1,2
2,98,86,1,1,1,1,2
1,34,38,0,0,0,0,1
2,35,37,1,0,0,0,1
2,95,68,0,2,1,0,2
0,5,63,1,2,1,1,2
2,49,71,0,2,1,0,2
2,99,19,1,1,1,0,2
1,68,43,0,2,0,0,2
0,27,78,1,1,1,1,2
2,91,100,1,0,0,0,3
0,11,43,1,2,0,0,2
1,50,15,0,2,0,1,2
0,82,50,0,1,0,1,2
2,84,84,0,1,0,1,2
2,75,26,0,2,1,1,2
1,85,2,0,0,0,0,1
0,1,54,1,1,0,0,4
1,56,8,1,1,0,1,2
0,63,38,0,1,1,0,2
1,61,6,0,1,0,1,2
2,46,41,0,0,1,0,1
0,16,97,1,0,0,1,3
2,32,60,1,1,1,0,2
0,3,39,1,0,1,0,1
1,19,29,1,0,0,0,1
0,95,92,0,0,1,1,1
1,84,78,0,1,1,1,2
0,1,85,1,2,1,0,4
0,18,99,0,2,0,0,2
1,85,59,1,2,1,1,2
0,67,54,0,2,1,1,2
1,21,24,1,1,1,0,2
1,11,48,0,0,1,0,1
1,32,56,0,0,0,1,1
1,48,7,1,1,0,0,2
1,72,32,0,2,0,1,2
1,16,53,0,0,0,0,0
1,30,10,1,0,0,0,1
0,7,28,1,0,0,1,1
2,67,92,0,0,0,1,1
2,43,42,1,1,1,0,2
0,13,34,0,0,1,0,1
2,47,39,1,2,0,0,2
1,95,33,0,0,1,1,5
2,65,14,1,2,0,1,2
2,46,90,0,1,0,1,2
1,15,15,0,1,0,1,2
2,61,27,0,2,1,0,2
1,71,18,0,0,1,1,5
0,22,18,1,2,1,1,2
1,62,56,1,1,1,0,2
2,48,13,0,2,0,0,2
0,61,48,0,0,1,1,5
2,34,28,0,0,0,1,1
2,61,35,1,0,0,1,1
1,14,100,1,2,0,1,2
0,57,71,0,1,1,0,2
0,57,24,0,0,0,0,1
1,23,73,1,2,1,1,2
0,77,57,0,2,0,0,2
0,87,4,1,2,0,0,2
2,12,64,0,1,0,0,2
2,39,61,0,2,0,1,2
2,54,28,1,1,1,1,2
0,91,46,1,0,1,1,3
0,48,55,0,2,1,1,2
2,86,75,1,2,1,0,2
1,51,58,1,0,1,0,3
1,65,58,0,2,0,0,2
0,85,68,0,1,1,0,2
1,48,73,0,0,1,0,1
2,9,46,1,1,0,0,2
2,10,97,1,2,0,1,2
2,88,73,0,2,1,1,2
2,24,36,0,0,1,0,1
1,8,99,1,2,0,0,2
0,54,2,0,0,0,1,1
1,87,35,0,1,0,0,2
0,69,13,1,2,1,1,2
1,43,90,0,2,1,1,2
0,0,44,1,2,0,1,4
2,39,64,0,2,0,0,2
2,89,6,1,1,0,0,2
2,45,98,1,2,1,0,2
1,97,11,1,1,1,1,2
1,20,30,1,0,1,0,1
1,67,19,0,2,1,1,2
1,60,90,0,2,0,0,2
2,0,19,1,2,1,1,4
0,31,97,0,2,1,0,2
2,35,54,0,1,1,0,2
0,78,77,1,2,1,1,2
2,52,73,1,2,0,1,2
1,28,43,1,2,0,1,2
2,36,100,1,2,0,1,2
0,38,77,1,2,1,0,2
0,52,10,1,1,0,1,2
2,76,20,1,0,1,0,1
0,98,98,1,2,0,1,2
2,84,8,0,2,0,0,2
2,85,51,0,2,1,1,2
2,49,94,1,0,0,0,3
2,70,13,1,0,0,1,1
1,80,32,1,1,1,1,2
0,54,17,1,1,1,1,2
0,35,94,1,0,1,0,3
0,23,94,1,1,0,0,2
2,31,0,0,0,1,0,1
0,39,36,0,0,0,1,1
1,72,98,0,1,1,0,2
1,92,75,0,0,1,0,1
0,48,24,0,1,0,0,2
1,67,9,1,2,0,0,2
0,91,66,1,1,0,0,2
0,75,22,1,1,0,0,2
0,77,35,1,1,0,0,2
0,89,87,0,2,1,1,2
0,85,76,1,2,0,0,2
1,85,92,0,0,0,0,1
1,39,3,1,2,1,0,2
2,5,46,0,1,0,0,2
2,98,54,1,0,1,0,3
0,62,60,1,0,1,1,3
1,17,9,1,0,0,1,1
1,1,24,1,0,1,1,4
1,35,56,0,2,1,0,2
1,91,72,1,2,1,1,2
2,80,46,1,1,0,1,2
2,5,3,1,2,0,0,2
0,87,52,1,0,1,1,3
1,14,92,0,1,0,1,2
0,0,37,0,0,1,1,4
1,97,93,0,1,1,1,2
1,74,64,0,2,1,1,2
2,22,0,1,0,1,1,1
1,13,12,0,0,0,0,1
0,98,59,0,0,1,0,1
0,22,55,0,2,1,1,2
2,25,77,0,1,1,1,2
2,41,40,0,2,0,1,2
0,21,2,1,0,0,1,1
0,9,34,1,2,0,0,2
0,69,97,0,0,0,1,1
1,10,90,0,0,0,1,0
2,98,90,1,0,0,1,3
2,88,11,1,2,1,1,2
0,98,74,1,2,0,0,2
2,84,45,0,2,1,0,2
2,56,56,1,0,1,0,3
0,21,78,0,2,1,0,2
0,100,59,1,2,1,1,2
1,64,59,0,2,1,1,2
1,41,58,0,2,1,0,2
1,9,83,1,0,1,0,0
1,90,91,1,0,1,1,3
2,95,33,0,2,0,0,2
1,13,97,0,0,0,0,0
0,28,82,0,2,1,0,2
2,76,37,1,2,1,1,2
1,61,30,0,2,1,1,2
2,6,5,1,0,0,1,1
2,43,71,1,2,1,0,2
0,93,97,0,2,1,1,2
2,71,66,0,2,1,1,2
1,4,41,1,2,0,1,2
0,86,46,0,0,0,1,1
2,87,94,1,1,1,1,2
0,48,34,0,0,1,0,1
0,52,20,0,1,0,1,2
0,91,30,1,1,0,1,2
2,90,92,1,2,0,0,2
2,27,88,1,2,1,1,2
2,91,87,0,1,0,1,2
0,78,61,1,1,0,0,2
0,30,31,1,2,1,0,2
0,25,14,0,2,0,1,2
2,33,51,1,1,0,0,2
0,95,39,0,1,1,0,2
2,9,69,0,2,1,0,2
1,73,72,1,1,1,1,2
2,34,91,1,1,1,1,2
1,90,98,0,2,0,0,2
1,42,16,1,1,0,0,2
0,60,65,1,2,1,1,2
1,21,25,0,1,0,1,2
2,51,62,0,0,1,1,1
0,47,94,1,0,0,1,3
1,19,50,1,0,1,1,3
0,40,2,0,1,1,0,2
0,54,89,1,2,0,1,2
1,94,20,1,0,1,0,1
2,72,4,1,2,1,0,2
1,10,15,1,0,0,1,1
1,29,98,1,2,0,0,2
0,73,38,0,1,1,0,2
0,2,20,1,1,0,1,4
0,91,82,1,2,1,1,2
1,81,38,1,0,1,0,1
0,58,98,0,2,1,0,2
0,37,74,1,0,0,0,3
1,47,65,0,1,1,0,2
1,82,84,1,2,1,1,2
2,61,8,0,2,0,1,2
1,70,59,0,1,1,1,2
0,58,48,1,0,0,0,3
2,20,5,0,0,0,1,1
2,43,24,1,1,0,1,2
0,0,98,1,2,0,0,4
0,2,19,0,0,0,1,4
2,81,59,1,1,1,1,2
2,71,39,1,0,1,0,1
0,82,2,0,0,1,0,1
2,36,63,1,0,1,1,3
1,69,28,1,1,0,0,2
0,90,66,1,2,1,0,2
0,52,76,0,0,1,0,1
0,87,75,1,0,0,1,3
0,71,41,0,1,1,0,2
1,21,18,0,2,0,0,2
2,48,80,0,1,1,0,2
1,57,95,1,0,1,1,3
0,82,2,0,0,0,1,1
0,65,21,1,2,0,1,2
1,27,98,0,0,1,0,0
0,54,40,1,2,1,1,2
0,53,100,0,1,1,1,2
0,42,91,1,2,1,1,2
2,1,33,1,1,1,1,4
0,91,23,0,0,0,0,1
0,89,24,0,2,1,1,2
2,26,0,1,2,0,0,2
0,69,99,1,0,1,1,3
2,1,47,1,2,0,1,4
0,38,77,0,0,1,0,1
1,62,16,0,1,1,1,2
0,12,40,0,0,0,0,1
0,7,88,1,2,0,1,2
1,29,6,0,0,0,0,1
0,58,50,0,0,1,1,5
0,26,42,0,2,1,1,2
2,51,43,0,2,1,1,2
1,71,66,1,2,1,1,2
2,42,56,1,1,0,0,2
2,5,84,1,0,1,1,0
1,77,83,1,2,1,1,2
0,71,15,1,1,1,0,2
1,59,59,0,2,0,0,2
1,74,39,1,2,1,1,2
2,52,51,1,0,1,1,3
0,67,51,0,2,0,0,2
1,52,73,1,1,0,0,2
2,53,71,1,0,1,1,3
1,62,5,1,0,1,1,5
0,3,64,1,2,1,1,2
0,62,94,0,1,0,0,2
2,58,6,1,1,1,0,2
2,40,46,0,1,0,1,2
2,84,64,1,2,1,0,2
0,82,99,1,0,1,0,3
1,80,10,1,0,0,0,1
2,53,96,0,1,1,0,2
1,7,22,0,2,1,1,2
2,21,44,0,0,0,1,1
0,86,20,1,2,0,1,2
0,66,38,1,0,1,1,5
1,61,12,0,0,0,0,1
2,6,54,1,0,1,1,0
1,13,74,1,0,0,1,0
0,44,20,0,1,0,0,2
2,40,76,1,2,0,1,2
1,0,47,1,0,1,0,4
1,12,98,0,2,1,0,2
0,4,100,0,2,1,0,2
0,77,96,1,1,1,0,2
1,45,36,1,0,0,1,1
1,67,53,1,0,0,0,3
0,0,5,0,2,1,1,4
1,30,10,1,2,1,0,2
1,88,47,0,2,0,0,2
1,5,81,1,2,1,1,2
0,71,6,1,2,1,0,2
0,51,78,1,2,1,1,2
0,77,47,0,2,0,1,2
0,85,72,0,0,0,0,1
1,53,49,0,0,0,0,1
0,3,47,1,1,1,1,2
0,65,61,1,2,0,1,2
0,69,95,1,1,0,0,2
1,66,75,0,0,1,1,1
2,62,50,0,2,0,1,2
0,65,36,1,1,1,0,2
2,83,59,1,1,0,1,2
1,2,99,0,0,0,0,4
0,54,100,1,0,0,0,3
1,80,69,0,2,1,1,2
1,7,5,1,1,0,1,2
2,85,100,0,0,1,0,1
2,23,53,0,1,0,1,2
2,86,45,0,0,1,0,1
2,80,93,0,0,1,0,1
0,39,30,1,0,0,1,1
2,32,49,1,2,0,0,2
0,56,51,0,2,1,1,2
2,74,57,0,2,0,1,2
0,85,45,1,2,1,1,2
2,51,51,0,0,1,0,1
1,42,56,0,0,0,0,1
2,31,30,0,1,0,0,2
0,10,4,1,2,1,1,2
0,20,48,1,0,1,0,3
0,86,89,0,0,0,0,1
1,83,59,1,1,1,1,2
2,25,8,0,0,1,1,1
0,12,84,1,1,1,0,2
1,7,28,0,0,0,1,1
1,39,22,0,2,1,0,2
0,69,68,1,0,1,1,3
2,14,64,0,2,1,1,2
0,95,8,1,0,0,1,1
0,65,49,0,2,1,0,2
1,22,72,1,0,1,0,0
0,23,19,0,2,0,1,2
1,79,28,0,1,0,1,2
0,100,94,0,0,1,0,1
2,66,78,1,0,1,0,3
1,1,91,0,0,1,1,4
1,64,39,0,1,1,1,2
0,69,36,1,2,1,0,2
1,20,12,0,2,1,1,2
2,14,75,0,0,0,1,0
0,34,3,1,2,0,0,2
2,52,1,0,2,1,1,2
0,52,26,1,2,0,0,2
0,86,29,1,0,1,1,5
2,72,5,0,2,1,0,2
0,69,6,0,1,0,1,2
0,25,55,1,2,0,1,2
2,58,73,1,0,0,1,3
0,48,11,0,1,1,0,2
1,15,2,0,2,1,1,2
2,76,34,1,0,1,0,1
0,42,85,0,2,1,1,2
2,10,76,0,2,1,0,2
1,48,35,1,2,1,1,2
1,29,3,0,1,0,1,2
0,37,100,1,1,1,1,2
1,39,9,1,2,1,0,2
0,8,5,1,1,1,0,2
1,37,84,1,2,1,1,2
1,63,15,0,2,1,0,2
1,71,23,1,1,0,0,2
0,77,1,0,0,0,0,1
1,71,80,0,0,0,0,1
0,66,100,0,1,1,1,2
0,6,25,1,2,1,0,2
2,54,57,1,1,0,1,2
0,82,0,0,2,0,0,2
2,52,45,0,1,1,0,2
0,51,42,1,2,1,1,2
1,62,55,0,1,1,1,2
2,70,82,0,1,1,0,2
1,85,79,0,0,1,0,1
1,88,4,0,2,1,1,2
0,11,19,1,0,1,0,1
0,87,10,0,1,0,1,2
2,15,91,0,1,1,1,2
1,6,16,0,1,0,1,2
0,4,28,1,0,0,0,1
1,26,36,1,1,0,0,2
1,99,93,1,0,0,0,3
2,75,4,0,2,0,1,2
2,50,3,0,1,0,1,2
2,3,98,1,0,1,1,0
1,100,84,1,0,1,1,3
0,25,10,1,0,0,1,1
1,64,12,1,0,1,0,1
0,82,34,1,2,1,0,2
2,40,3,1,2,1,1,2
0,8,95,1,0,1,0,3
2,40,30,0,0,1,0,1
2,58,81,0,2,0,1,2
0,69,76,1,0,0,1,3
0,12,53,0,2,0,0,2
2,17,94,0,2,1,1,2
1,50,31,1,0,0,1,1
1,62,93,0,1,0,1,2
1,32,25,0,1,0,0,2
1,24,65,0,2,0,1,2
1,35,68,1,1,1,0,2
2,6,74,1,0,1,0,0
2,86,61,1,0,0,1,3
0,12,15,1,0,1,0,1
0,16,78,1,0,0,1,3
0,48,70,1,1,0,1,2
1,74,38,0,2,1,0,2
0,69,61,1,2,1,1,2
1,80,66,0,2,1,0,2
1,31,2,0,2,1,0,2
0,27,16,0,0,1,0,1
0,54,43,0,2,1,0,2
0,13,22,0,1,0,1,2
2,70,88,1,1,0,1,2
0,70,8,0,1,1,1,2
0,7,85,1,2,1,0,2
0,9,76,1,0,0,1,3
0,6,67,1,0,0,0,3
0,33,88,0,1,0,0,2
2,94,98,1,1,1,1,2
1,45,17,1,1,0,0,2
0,89,69,1,1,1,0,2
2,87,48,0,1,1,1,2
1,94,20,1,2,0,0,2
1,9,37,0,0,0,1,1
0,16,55,1,1,0,0,2
1,57,48,1,1,1,0,2
2,30,40,0,1,1,1,2
2,34,59,0,0,1,0,1
0,63,35,0,1,0,0,2
1,60,12,0,0,1,1,5
2,83,51,1,1,1,0,2
2,29,1,0,1,0,0,2
1,72,63,0,0,0,0,1
0,18,32,1,2,0,1,2
0,67,81,0,2,0,0,2
0,33,85,1,1,0,1,2
0,71,34,0,0,1,0,1
2,28,69,0,2,1,1,2
1,63,1,0,1,1,0,2
2,6,47,0,1,0,1,2
2,33,43,1,1,1,1,2
1,32,5,0,2,0,1,2
2,10,41,0,2,1,1,2
0,78,57,1,0,1,1,3
1,78,19,1,0,0,0,1
0,36,7,0,0,0,0,1
1,23,51,1,0,0,1,0
0,66,34,1,2,1,1,2
2,43,98,0,1,1,1,2
2,43,43,1,0,0,1,3
1,65,3,1,0,0,1,1
1,76,9,1,1,0,0,2
0,24,0,0,2,0,1,2
2,93,19,0,1,1,0,2
1,33,39,0,1,1,0,2
1,4,50,0,0,0,1,1
2,99,62,1,1,1,1,2
0,18,31,0,2,1,0,2
0,19,15,1,0,1,0,1
1,73,62,0,2,0,1,2
1,78,65,1,2,0,0,2
0,92,72,0,1,0,1,2
0,67,80,1,0,1,1,3
2,89,47,0,0,0,1,1
2,18,50,0,1,1,0,2
0,97,62,0,2,1,1,2
2,90,68,1,0,1,1,3
2,55,62,0,1,1,0,2
0,31,13,1,0,1,0,1
1,64,14,1,2,1,0,2
0,38,47,1,2,0,0,2
0,87,57,0,2,0,0,2
1,55,54,1,1,1,0,2
2,84,2,1,1,0,0,2
1,56,13,0,1,1,0,2
0,24,67,1,0,0,0,3
1,84,63,0,2,0,0,2
0,32,70,0,0,0,1,1
1,40,6,0,0,1,0,1
2,70,29,0,2,1,1,2
0,9,11,0,2,1,1,2
2,46,85,1,1,1,1,2
1,36,9,0,0,1,0,1
1,44,79,1,2,0,0,2
0,55,50,1,1,1,0,2
1,30,71,1,2,1,0,2
2,17,25,1,2,0,0,2
2,57,100,0,2,1,1,2
2,84,66,1,0,1,0,3
2,23,13,1,0,1,0,1
0,96,0,1,0,1,0,1
1,44,82,1,0,1,0,3
1,7,100,1,2,1,1,2
2,9,66,0,0,1,0,0
0,91,76,1,1,0,1,2
1,35,47,1,0,0,0,3
2,63,77,0,0,1,0,1
1,95,51,1,2,1,0,2
0,58,95,0,1,0,1,2
0,88,93,1,2,0,0,2
0,66,99,1,0,0,0,3
0,29,32,1,2,0,1,2
1,42,78,0,2,1,1,2
0,50,45,1,0,0,1,3
2,59,76,1,0,0,0,3
0,64,81,0,2,1,1,2
0,100,43,0,2,0,1,2
2,99,79,1,2,0,0,2
2,88,13,1,1,0,0,2
2,65,1,0,0,1,1,5
1,36,37,0,2,1,0,2
2,8,79,0,1,1,1,2
1,6,19,1,0,0,1,1
1,29,55,1,0,0,1,0
2,54,36,1,1,1,0,2
2,18,70,1,2,0,0,2
0,16,80,0,1,1,1,2
1,61,82,1,0,0,0,3
0,74,54,1,2,1,1,2
0,97,32,1,1,1,0,2
2,26,52,1,2,0,1,2
1,88,28,1,1,0,1,2
0,27,60,0,1,1,1,2
2,86,69,0,1,0,0,2
2,51,76,1,2,1,0,2
2,92,45,0,0,0,0,1
2,28,88,1,0,1,0,0
1,77,90,0,2,1,0,2
1,65,64,0,2,0,1,2
2,33,6,0,0,0,0,1
2,58,11,0,0,1,0,1
0,29,23,1,1,0,1,2
2,66,3,0,1,0,1,2
1,41,100,1,2,1,1,2
0,61,59,0,1,0,0,2
0,41,80,0,0,1,0,1
2,92,64,0,1,1,0,2
1,4,83,0,1,0,0,2
2,91,36,1,1,0,1,2
0,39,97,0,2,0,0,2
2,47,100,1,1,1,0,2
0,80,20,0,0,1,0,1
2,66,9,0,1,1,1,2
2,22,92,1,0,0,1,0
1,79,55,1,1,0,0,2
2,100,2,1,2,1,0,2
2,73,2,0,1,1,0,2
0,19,24,0,2,1,1,2
0,84,31,0,1,1,1,2
2,74,33,1,2,0,1,2
1,63,75,0,2,1,1,2
1,7,12,0,2,0,1,2
0,35,87,1,0,1,1,3
0,60,19,0,0,1,1,5
1,42,63,1,0,1,1,3
2,6,99,1,2,1,0,2
0,100,20,0,0,1,0,1
2,3,92,1,0,0,1,0
0,64,28,0,0,1,1,5
0,50,66,0,2,1,1,2
1,20,37,1,0,1,1,1
1,16,62,0,1,0,0,2
0,17,54,0,2,0,0,2
1,65,6,1,1,0,0,2
0,86,60,0,2,0,0,2
0,54,78,0,0,0,0,1
1,86,0,1,1,1,0,2
0,80,24,1,2,0,0,2
0,36,97,1,1,1,1,2
1,59,41,0,1,0,1,2
1,36,74,0,0,1,1,1
1,84,7,1,1,1,0,2
1,50,25,0,0,1,0,1
0,22,43,0,1,0,0,2
1,5,69,1,2,1,0,2
2,63,60,1,0,0,1,3
0,7,20,0,1,0,1,2
1,58,77,0,2,0,0,2
0,70,51,0,0,1,1,5
2,43,42,1,1,0,1,2
2,95,33,1,0,0,1,1
0,93,31,1,0,1,1,5
0,1,17,0,1,1,1,4
2,7,86,0,0,1,1,0
2,82,45,1,0,0,0,3
0,59,5,0,0,0,0,1
1,26,67,0,2,0,1,2
0,35,96,1,0,1,0,3
1,95,35,0,0,1,1,5
1,24,37,1,1,1,1,2
0,68,13,0,1,0,1,2
2,67,92,1,1,1,0,2
0,79,6,0,1,0,0,2
2,10,91,0,2,0,0,2
1,98,40,0,1,0,0,2
2,5,76,0,0,0,0,0
0,97,73,1,0,1,1,3
2,9,15,0,0,1,1,1
0,83,72,0,0,1,1,1
2,4,19,1,0,1,1,1
0,55,68,0,0,0,1,1
0,82,66,1,2,1,0,2
0,13,69,1,1,1,0,2
1,52,26,0,0,0,0,1
0,41,97,0,2,1,1,2
2,57,56,0,1,1,1,2
1,99,26,1,1,0,0,2
2,97,13,1,1,1,1,2
1,92,95,0,1,1,0,2
1,27,6,1,2,1,0,2
1,37,62,0,1,0,0,2
0,56,85,0,2,0,1,2
1,45,40,1,0,0,0,1
1,63,52,1,0,1,1,3
0,20,35,0,2,1,1,2
1,48,32,0,2,0,0,2
2,63,32,0,0,1,0,1
0,65,63,0,0,0,1,1
1,25,94,0,1,0,1,2
2,61,96,1,0,1,0,3
1,50,59,1,2,0,0,2
2,49,19,1,1,1,0,2
0,88,75,0,0,1,1,1
1,39,77,0,2,1,0,2
0,99,13,0,1,1,1,2
2,87,77,1,2,0,0,2
0,4,43,0,1,0,1,2
1,19,100,0,0,0,1,0
1,99,31,0,2,0,0,2
2,66,65,1,0,0,0,3
1,37,19,1,1,1,1,2
0,21,5,1,1,1,1,2
0,37,88,1,1,1,0,2
1,22,28,0,2,1,1,2
2,4,66,1,0,0,0,0
0,38,2,1,1,1,0,2
2,98,66,0,1,0,1,2
0,10,1,1,1,1,1,2
2,6,81,1,2,0,1,2
1,13,44,0,1,1,1,2
2,98,90,0,2,1,0,2
1,61,72,0,1,0,1,2
1,44,87,1,1,0,0,2
2,28,44,0,2,1,1,2
1,35,68,1,0,1,0,3
1,85,6,0,2,0,1,2
2,22,10,1,0,1,1,1
0,40,58,0,2,0,0,2
1,34,92,1,2,0,0,2
1,82,84,0,2,1,0,2
1,36,54,0,2,0,1,2
0,45,60,1,2,1,1,2
1,53,44,1,2,1,1,2
0,97,88,1,2,0,0,2
0,78,32,1,2,0,1,2
1,35,45,0,2,1,0,2
1,85,52,1,0,0,1,3
1,21,31,1,1,0,0,2
2,72,21,1,0,1,1,5
2,70,49,1,0,0,1,3
0,32,70,1,1,1,0,2
0,26,61,0,2,1,0,2
1,2,56,1,0,1,0,4
0,21,58,0,0,1,1,1
1,37,35,0,1,0,0,2
2,75,47,1,2,1,1,2
2,85,23,1,0,0,1,1
0,33,37,0,2,0,0,2
0,88,67,0,2,0,1,2
1,78,26,1,1,1,1,2
2,39,54,1,0,0,1,3
0,89,80,0,2,0,0,2
1,20,1,1,2,0,1,2
1,51,52,0,0,0,1,1
2,25,99,0,2,1,0,2
2,73,37,1,0,1,0,1
2,41,1,1,0,1,0,1
2,40,20,0,0,0,0,1
0,40,77,0,2,1,1,2
2,63,85,1,0,1,0,3
2,1,39,0,0,1,0,4
0,47,40,1,2,0,0,2
2,0,61,1,1,0,0,4
0,78,12,1,2,0,0,2
2,85,96,0,0,1,1,1
0,1,68,1,2,1,1,4
2,56,78,1,2,1,0,2
0,22,27,1,2,0,0,2
0,12,28,1,2,0,0,2
2,27,0,1,1,0,0,2
0,28,49,0,0,0,0,1
0,81,15,1,1,1,1,2
1,4,93,0,2,1,0,2
1,43,54,1,1,0,1,2
1,80,14,0,1,1,1,2
1,55,90,0,2,1,1,2
2,94,49,1,2,1,1,2
0,41,52,1,1,0,0,2
0,69,95,1,2,0,0,2
1,43,7,0,2,0,0,2
1,17,38,1,1,1,1,2
2,23,62,1,0,1,1,0
0,63,44,0,2,0,1,2
1,61,98,0,0,0,0,1
0,1,72,1,1,0,0,4
1,70,87,1,2,1,0,2
2,10,35,0,2,0,0,2
0,30,59,1,0,1,1,3
2,68,7,0,1,1,0,2
1,40,67,0,0,1,0,1
1,86,17,0,2,1,0,2
1,98,88,1,0,0,0,3
1,40,21,0,2,0,1,2
0,92,2,1,0,0,0,1
0,92,57,0,2,0,0,2
0,49,12,0,1,0,1,2
2,43,18,1,1,1,1,2
1,10,39,1,0,0,1,1
2,58,22,0,2,0,0,2
0,53,78,0,2,1,0,2
2,48,53,0,1,0,0,2
1,55,78,1,0,0,0,3
2,40,62,0,2,0,0,2
2,27,33,1,0,1,1,1
2,55,68,0,2,1,0,2
0,80,46,1,1,0,1,2
0,97,19,1,0,1,0,1
2,99,66,0,1,0,0,2
2,35,30,1,1,0,1,2
1,47,32,1,1,1,0,2
2,11,57,0,2,1,0,2
2,71,98,1,2,0,1,2
0,7,23,1,0,0,0,1
1,50,25,1,2,1,0,2
2,42,22,1,1,0,1,2
0,46,52,1,2,1,1,2
0,43,97,1,2,1,0,2
2,16,34,0,0,0,0,1
2,66,6,1,0,0,1,1
2,59,15,0,0,1,1,5
0,43,7,1,2,1,1,2
0,51,30,1,2,1,0,2
1,79,68,0,2,1,1,2
2,80,40,1,2,1,0,2
1,2,40,1,2,1,0,4
1,23,30,1,1,1,0,2
1,69,5,1,1,1,0,2
0,22,21,0,1,1,1,2
1,69,74,0,0,0,1,1
1,29,65,0,1,1,0,2
2,87,35,1,0,0,1,1
0,31,19,1,2,0,0,2
2,74,98,1,2,1,0,2
1,73,76,1,2,1,1,2
2,5,59,1,2,1,0,2
1,11,65,1,2,0,0,2
1,84,44,0,2,1,0,2
2,28,20,1,2,0,0,2
2,21,40,0,2,1,1,2
1,66,61,1,0,0,0,3
1,45,4,1,0,0,0,1
2,54,95,0,1,0,0,2
0,78,76,0,0,0,0,1
1,86,51,1,1,0,1,2
0,75,83,0,2,1,1,2
0,55,82,1,0,1,0,3
0,4,52,1,2,0,1,2
1,94,60,0,1,1,0,2
0,36,17,1,1,1,1,2
2,81,1,1,0,1,1,5
2,75,20,1,0,1,1,5
0,21,35,0,1,0,1,2
1,85,49,1,0,0,1,3
1,63,53,1,2,0,0,2
1,29,44,0,0,0,1,1
2,50,68,0,2,1,1,2
1,78,93,1,1,1,0,2
1,14,35,1,0,1,0,1
1,1,69,1,2,0,0,4
2,92,20,1,0,0,0,1
1,7,64,0,0,0,0,0
0,69,72,0,0,1,1,1
1,53,84,0,1,1,1,2
0,100,39,0,1,1,0,2
2,71,36,0,1,0,0,2
2,93,68,0,1,1,1,2
1,98,32,0,1,1,1,2
2,6,100,0,1,0,0,2
0,30,99,0,2,1,0,2
0,14,60,0,2,0,0,2
2,32,25,1,1,0,0,2
0,13,44,0,0,0,0,1
1,22,7,1,2,0,0,2
2,48,87,0,1,0,0,2
1,44,19,1,2,0,0,2
2,46,50,1,1,0,1,2
1,39,61,1,2,1,1,2
0,46,6,0,2,1,1,2
2,77,28,1,2,0,1,2
1,52,55,0,1,1,0,2
1,68,11,0,2,0,0,2
0,84,66,1,2,1,0,2
0,10,80,1,1,0,0,2
2,80,1,1,0,0,1,1
0,32,73,1,2,0,1,2
0,1,33,1,1,1,1,4
0,2,18,0,0,1,1,4
2,93,100,1,0,1,1,3
0,13,51,0,1,1,1,2
2,97,25,1,0,1,1,5
2,93,42,0,2,0,0,2
0,30,83,0,0,1,0,1
2,43,73,1,0,1,0,3
0,72,23,0,1,0,0,2
1,74,92,1,1,0,1,2
0,77,49,1,0,0,1,3
2,17,1,0,2,1,1,2
2,83,69,1,1,0,1,2
1,74,95,1,0,1,1,3
1,6,33,0,1,0,1,2
2,39,23,0,2,0,1,2
2,21,81,1,0,1,1,0
0,45,14,0,2,0,0,2
1,46,61,0,2,0,0,2
2,94,54,1,1,1,1,2
1,18,63,0,2,1,0,2
1,55,68,0,1,1,0,2
0,5,93,1,2,0,0,2
0,34,24,0,1,0,0,2
1,51,59,0,2,0,1,2
1,67,0,0,2,0,1,2
0,21,15,1,0,1,0,1
1,13,32,1,1,1,0,2
0,67,49,1,2,1,1,2
2,57,39,0,1,1,0,2
2,45,92,0,2,0,0,2
2,28,6,0,1,0,0,2
0,48,49,0,1,0,0,2
1,47,48,1,1,0,0,2
0,4,37,0,0,1,0,1
0,9,43,0,0,0,1,1
1,15,65,0,2,1,1,2
0,68,85,0,2,0,1,2
0,91,46,1,0,0,1,3
2,36,71,1,2,0,1,2
2,77,38,1,1,0,1,2
0,11,45,1,2,1,0,2
1,26,7,0,0,1,0,1
